,text,label
2546,Ich bin entsetzt über den Anschlag in #barcelona. Meine Gedanken sind bei den Opfern. Hass und Gewalt dürfen nicht siegen.,2
3450,"Ich möchte ja die besinnliche Weihnachtsstimmung nicht stören. Aber neben PR-trächtigen Events für Wohnungslose wäre es doch schön, mehr bezahlbaren Wohnraum zu schaffen und den Sozialstaat zu stärken, oder?",2
2567,Wer fickt #annewill eigentlich den ganzen Tag in den Kopf? Dass es zu so einer gästeliste kommt?,1
1389,"Das Krebsgeschwür, das jeden Frieden im Nahen Osten verhindert, ist der dem Islam inhärente Herrschaftanspruch über andere Kulturen, und der dem Islam inhärente Antisemitismus. |LBR| #IStandWithIsrael |LBR| #Jerusalem",0
2563,@MiataMuc Die Grausamkeit des Kapitalismus 😂,2
1556,"@TobiasM_28 @Tom174_ @Die_Gruenen Niemand, der vor Krieg flüchtet, lässt seine Familie in einem Kriegsgebiet zurück.",0
523,Es wird Zeit das mann @GoeringEckardt ENTSORGT am besten rückstandlos. #illner,0
3489,@balleryna Laßt doch endlich mal A. H.u. das NS-Regime in Ruhe😡,0
1038,@CDU @moguai Was für eine verlogene Scheisse !!! Die Bande aus der GroKo ist geil auf Macht und scheisst auf die wirklichen Nöte der eigenen Bürger !!!,0
1718,"@Die_Gruenen @cem_oezdemir Lieber hundert Stimmen für die #AFD als eine Stimme für die #SPD , die #Scheinheilgste #Partei #Deutschlands",1
2326,@ichbinmuckmuck @tonino85 Dann interpretier halt nicht so viel in anderer Leute Tweets rein 😎,2
297,"Angela Merkel und Martin Schulz sitzen gerade zusammen. Mit ihren Getreuen, aufrechten Christ- und Sozialdemokraten. Und nur ein Gedanke beherrscht ihr Tun. Sie wollen unseren ""Nutzen mehren und Schaden von uns wenden"". Nichts sonst. Glaubt mir!!",2
2846,"@ScottiRacer Ach, ich glaube er ist einfach ein Schauspieler.",2
1958,@MartinaHuber15 Die größte Schande sind die CDU-VERBRECHER!,0
3349,"Als @KerstinGriese Angriffe auf das Holocaustmahnmal als Schande bezeichnet, klatscht das ganze Haus. Bei der #AfD rührt sich keine Hand - eine Schande.",2
1893,so etwas kommt davon wenn man einen ahnungslosen #Alkoholiker zum #Parteivorsitzenden macht @MartinSchulz #SPD,1
883,"@MiRo_SPD Abgefuckte Hühnerscheisse. Aber klar, dass jemand aus der Scheinheiligsten Partei Deutschlands so denkt. SPD - SCHMAROTZER, PÄDOPHILE und DENUNZIANTEN. |LBR| Wer hat uns verraten....",0
389,"@StapelChipsYT Puh, diese Suche bin ich nicht gewohnt 😂😂😂",2
2826,"Ich wäre toleranter gegenüber islamischer Masseneinwanderung, wenn man mir das Gefühl geben würde, dass wir hier alles tun, um diese Menschen zu säkularisieren und zu Atheisten zu machen.",0
846,.@LudkeThomas ist das Ihre Rechtfertigung für erstochene Touristinnen? Ekelhaft.,2
1514,"Ohne die USA sind die Israeliten der Vernichtung geweiht. |LBR| Also fragt euch,wer unsere Freunde sind.",2
1693,@Verlierer50 |LBR| Der Krieg in den Städten endet blutig und tödlich. Wollt ihr das? Nein?Dannschmeißt sämtliches Asylantenpack raus. Sofort!,0
306,"Ich schau mal in knapp 4 Jahren mal ob es die #spderneuern noch gibt, oder ob sie sich tatsächlich erneuert hat. Erneuern heißt für mich allerdings, komplett neues Personal. @jusos",2
605,"Im Koran steht zwar, dass Moslems Ungläubige töten sollen, aber das hat nichts damit zu tun, wenn Moslems Ungläubige töten.",0
1592,"@bernd471 @mollemopp Die Kirche wacht hier erst auf , wenn hier die ersten Pfarrer mit Messer geköpft werden",2
749,"@Tevsa Sei mal ehrlich, wie sollen man Frauen noch ernst nehmen?",0
3049,"""Eine besondere Sensibilität für d. Bedürfnisse geflüchteter Frauen (...) in allen Bereichen des kirchl. Engagements für #Flüchtlinge ... .""",2
2254,".....ohne Abgeordneten Immunität wäre Meth-Dealer Volker Beck heute schon im Knast. In unseren ""verkehrten Welt"" ist er bei #maischberger",0
3039,@Alma_Deutsch @MiRo_SPD @robinalexander_ @welt Alles nachzulesen auf facebook unter: Verein gegen die Willkür deutscher Botschaften und des Auswärtigen Amter,2
2986,"""Vergesst nicht die Gastfreundschaft, durch sie haben manche Engel beherbergt und wussten es nicht (Hebr 13,2)."" #Integration",2
1937,Das Geseiere dieses Pfaffen Gauck widert jeden Aufrechten nur an!Warum beantragt dieses Objekt der Zersetzung nicht Asyl im gelobten Land?,0
1942,@Wahlen_AfD_2016 Alles nur wegen der Asylschmarotzer!,0
2369,@Namiimon @CayVL @mountainman1977 @zeitonline Das ist vor allem Schwachsinn.,1
1160,"die #Grünen sind so machtgeil, sie werden alles unterschreiben",1
278,@MiataMuc @Tom174_ @ThiloAdamitz So gehört sich das. Hunde ausführen verschafft schließlich Dates!,2
3205,@sissis_welt Wir haben damit nichts zu tun und wollen das auch nicht.,2
2739,@MDRAktuell Korrektur zum Tweet: Das #Stasi-Unterlagen-Archiv hat Scanner zur Digitalisierung von Akten. Aber die spezielle Scantechnologie für die automatisierte Digitalisierung der Schnipsel ist noch nicht ausgereift. Daher z.Zt. Pause. Dennoch wurden 91.000 Seiten bislang rekonstruiert.,2
431,wie lange müssen wir uns heute noch die lauwarmen Nachrichten der #Tagesschau anschauen die jeder schon den ganzen Tag wahrgenommen hat #ard,2
2399,"@BenjyR01 @allesevolution @DerDoktorant Die Kernfrage ist damit aber nicht obsolet. Ich denke durchaus, dass man Menschen in Unterarten einteilen kann, weil es logisch stringent ist, wenn man es bei anderen Spezies ebenso tut.",2
1625,"@Ralf_Stegner Auf dem Weg in die Küche, mir einen Schnaps holen um die sehr schlechten #Sondierungsgespräche runterzuschlucken und zu hoffen das der SPD Parteitag das verhindert. |LBR| @spdde @jusos",2
947,"@anna_IIna Die Kommunen jammern, die Länder jammern! Will heißen, man bereitet die doofe Melkkuh - den deutschen Steuerzahler- auf Steuer- als auch Abgabenerhöhungen vor!",2
1955,@Tschonka @trident750 @houelle_beck @ThomasMichael71 @Claudia_Mertes @TiniDo Eben. Und da Natur keine Moral kennt ist die Grenze zur Gewalt fließend.,2
2572,"@TschauderZwerg Werter Herr Schauderzwerg, |LBR| bitte lesen sie ihren Kommentar einmal Korrektur!",2
3518,"Wer nur in den Rückspiegel schaut, fährt den Karren an die Wand. #noAfD #AfD",2
1169,"@FrankBeh Der zweite Versuch ist drin – der erste ist nie bei uns im System angekommen, jedenfalls finde ich davon keine Spuren, weder bei automatisch als Spam markierten noch von Hand gelöschten Kommentaren. /fxn",2
942,"@ReinerKeller @lilly_blaudszun FY Kriechen tun nur die schäbigen Bastarde aus der abgefuckten SPD, und zwar ganz tief in den Arsch von IM Erika.",1
1182,Lacht die Sozis und inre Merkeltruppe aus!Macht die Knechte lächerlich!,2
1450,Herzliche Einladungen zu unseren Gottesdiensten im Karmel Hannover |LBR| Sonntag 24.12.2017 Heiligabend |LBR| 09.00 Uhr Hl. Messe - 4. Advent |LBR| 17.00 Uhr gesungene 1.Vesper von Weihnachten |LBR| 19.00 Uhr Christmette,2
1797,Diesem Heribert prantl sollte man wirklich nicht so viel Aufmerksamkeit schenken. #annewill,2
3291,"@Karlchen0815 @schulle60 |LBR| Ich kanns nicht mehr hören. Diese sogenannten ""Flüchtlinge"" !",0
2556,@PolizeiMuenchen Danke !Das ihr uns beschützt habt !,2
2060,@MiataMuc @HelgeThiessen @Radarfurie Aber echt: Da sind Rechte an der Uni! Und niemand tut was dagegen! 😱 |LBR| Ja. Warum auch?,2
2327,@weidenkatzl |LBR| Stimmt. Will ich gar nicht sehen die Grausamkeit.,2
1275,#Maas sind sie eigentlich ganz blöd ???? Oder sind sie einfach nur Dumm von zulange studieren ????!!!!!,1
1130,"#ekdsynode - Abschlusspressekonferenz in Bonn mit der Präses Irmgard Schwaetzer: ""Bei der Präsenz der Kirche in der Gesellschaft sollten wir die Erfahrungen aus dem Reformationsjubiläum nutzen.""",2
2506,@schlabonski @AlternativeNds und solange eine Partei/Fraktion im Parlament vertretten ist hat sie auch ganz andere Mittel zur Verfügung.,2
2192,Mit herzlichem Dank an 100 Follower von @ebhhFluechtHilf!,2
2176,Kinder sollen ihren Islamunterricht bekommen aber im #Islam und nicht in Deutschland. diesen Scheiß brauchen wir nicht! @aktuelleStunde #WDR,0
2045,Warum berichten die Medien eigentlich kaum über die Rede von Martin Sichert über den Familiennachzug? |LBR| Vielleicht weil seine Position nicht angreifbar ist und von einer Mehrheit im Land vertreten wird? |LBR| Alleine Schäubles Mimik während der Rede spricht Bände.,2
2890,Blockade brechen - #RespektWählen. Gemeinsam für #Freiheit und gleiche Rechte. - LSVD-Motto für die Bundestagswahl 2017 #btw2017 #vt2017,2
2360,"Der #Siemens-Chef Joe Kaeser geht jetzt auf die Politiker los, die ihn kritisieren. Die einzig richtige Antwort ist asozialen Firmenchefs wie #Kaeser #Massenentlassungen zur #Profitsteigerung gesetzlich zu verbieten. #Bundestag #Linke",1
457,Hier werden Sie jedoch nicht mehr benötigt.,2
354,"@ReiseRobby @cducsubt Nein, der Text des Antrages ist ziemlich gut. Ich hätte wenig Anderes geschrieben und vielleicht noch etwas ergänzt. Es kommt auf die Umsetzung an.",2
2366,Ich scheiße gern auf die #Moschee von #Real ein guter Kauf,0
2795,"@MiataMuc @Tom174_ Ja, die ausländischen hab ich komischerweise nicht mitgezählt 😁. |LBR| Aber erinnern kann ihn mich an die alle.",2
2213,@66Freedom66 @Hevellia64 Ausser andere mit Dreck bewerfen kann das Schulzmännchen nicht. Kehrt zuerst euren Mist weg bevor ihr andere darein zieht. Dreckschleudern,1
1041,@npdde |LBR| Wann traunen sich endlich Normalbürger NPD zu wählen? |LBR| Jetzt oder nie! Sonst ist D verloren.,2
3465,"@uepsilonniks1 Sich vorstellen, Deine Mutter würde zuhören, was Du sagst.",2
574,"@Beatrix_vStorch bei so vielen verschwulten Entscheidungen, fragt man sich doch ""wer hat den Verfassungsrichtern ins Hinr geschissen?"" #voßkuhleScheisskule",0
2058,"#Incirlik: Gern helfen wir der Bundeswehr bei der Suche nach einem anderen Standort: nicht Jordanien, Zypern o. Kuwait, sondern Deutschland!",2
400,"@karlaschnik @OneStepBayond @kubyalcin @kahrs @Karl_Lauterbach @spdde @ThomasOppermann Man muss auch in einer Koalition erkennbar bleiben und bei den Sondierungen hat Schulz darauf bestanden |LBR| wenn sich nach 2 Jahren die Union sich nicht bewegt, dann muss die SPD den Mut haben Konsequenzen zu ziehen.",2
876,Ein bisschen stolz darf man sein: Das @ErzbistumHH hat seit März 2015 Projekte in der Flüchtlingsarbeit mit über 375.000 € gefördert.,2
2473,Präses Schwaetzer eröffnet mit einem Blick zu den US-Wahlen das Plenum der #ekdsynode,2
285,Wegen Euch muss ich jetzt arbeiten. Weil Ihr unbedingt konsumieren müsst!,2
2400,"@ZeichenTaten @mountainman1977 @ThomasMichael71 Unsere gesamte Landwirtschaft beruht auf Gentechnik. Oder glauben Sie, den Bio-Apfel oder das Bio-Schwein finden Sie irgendwo in der Natur?",2
3,„Merle ist kein junges unschuldiges Mädchen“ Kch....... 😱 #tatort,2
2278,"#Familienzusammenführung fördert #Integration und dämmt Schlepperwesen ein. - Christoph Pinter, #UNHCR Österreich",2
3451,"@michaelumlandt Die Fortbildung zum zertifizierten Eifel-Dialekt-Transkribierer hast du aber nie erfolgreich abgeschlossen, oder?",2
154,@mollemopp Genau. Die Froschfresser haben nichts gelernt! Ihr Untergang ist selbstverschuldet.,0
1260,@webman_tweet Sofware ist ein Schreibfehler u müsste eigentlich Software heißen 😄,2
2817,Diese Opferkultur und diese beständige gesellschaftliche Therapiesitzung geht mir sowas von auf den Sack.,2
1769,@Achtpanther @THesmert Ob das illegal war? Es hat ja zuvor de facto ja niemandem gehört.,2
2038,Wo bleiben die befreienden Helden???,2
449,"@TiffanyAngelx Bin ja echt nicht neidisch auf jemand ; Aber auf den Mann ,der eng umschlungen am Sonntag neben dir aufwacht schon !😆🙃 oder dir das Frühstück ans Bett bringen darf...☀️🍓🍒🍑🥥🍉🍍🥓🍔🧀🥨🍞🥚☕️",2
3245,Heiko Maas ist furchtbar. Sein gelabber sollte unter Strafe stehen. #berichtAUSberlin,1
2670,"@mariae_gloria Phuuuu, Montage. Kennt doch jeder. ;-) /jcm",2
816,@mhoepflinger Natürlich - die OSTKÜSTENHURE droht.,1
886,Bei einer Direktwahl hätte Claudi Roth nichtmal 1%. Keiner will sie haben. #lanz #maischberger,1
674,So langsam verstehe ich: Jeder wurde schon einmal sexuell belästigt und missbraucht. Hab's kapiert. |LBR| Können wir jetzt das Thema wechseln?,2
3419,"Ich wette, Liberalismus wird in Deutschland bald als Hassverbrechen verfolgt.",2
2524,"@BibAltonensis Dann ist ja gut, dass weder der Buzzfeed-Kollege noch ich das Wort „wirklich“ gebraucht haben.",2
3467,"@loriotfehlt @Sonny250874 Ach das soll kotzen sein. Interessant, was Sie zum kotzen bringt",1
1386,"@ThomasMichael71 @HelgeThiessen Ja, ihr glaube ich sehe ne Grafik-Linie am linken Bein. |LBR| Aber trotzdem geil 😀",2
864,wer nicht in den Schlaf findet sollte den Film in der #ARD schauen der ist sehr ermüdend und wohltuend für den Schlaf,2
1286,"@oadiakosmos @gselsbaer @Fjordspringer @Schnubb36 @transsimian @3rd_stone_f_sun @AlfredAndPaul @TomBell46959788 @KosmosOadia @druzim @DasEbenbild @_Apuleius @karlrahner_sj @veronikusz @LadyLeliana @VJanusch @HELMA__D @ifw_recht @gbs_org Oh sorry, auf welchem Weg hast du von den Geschichten erfahren? Ich bin davon ausgegangen, dass du die Bibel gelesen hast, die ja nun mal von RKK ""zusammengestellt"" wurde. Um es mal freundlich auszudrücken.",2
2328,"Liebe Freunde,seht euch Tagesschau,Hessenschau und andere Medien an.Was will dieses System?",2
1912,@AfDBerlin @clydevpg Und genau das trifft z. Z. voll zu. Meinungsdiktatur.,0
2757,@Lars_TSPD Na da komm ich mal,2
1476,Merkels Gerechtigkeit ist überall spürbar!,2
2101,"@Claudia_Mertes Um die Debatte abzukürzen: Ich bin für Meinungsfreiheit. Und die Straflosigkeit für alles, was anderen Menschen keinen Schaden durch andere zufügt. Punkt!",2
87,@jdoeschner @nrwspd @spdde Die SPD sollte wohl besser auf ihre Umweltministerin hören als auf die lokale RWE-Lobby.,2
2061,@handelsblatt @sigmargabriel @gaborsteingart Ich habe einen Konflikt mit den menschenverachtenden Politikern aus unserer Regierung und nicht mit dem deutschen Volk.,1
2244,@chribenesch Keine Sorge: Wir machen das mit dem Porto - Sie mit ihrer Spende den Unterschied! Wir sagen Danke! 😊,2
3214,"@HHumorlos hallo du kleines Fötzchen. Ich habe gleich gemerkt, dass du noch nie richtig gefickt worden bist und sehsüchtig auf die Männer die dir in der Talkrunde gegenüber saßen gegiert hast .",0
71,@hugresch @saltomentale Ich hatte es auch nur als Sammelbegriff verwendet um diesen vom nationalistischen Kollektivismus abzugrenzen. Kollektivismus bleibt jedenfalls Kollektivismus und ich bin ein strikter Befürworter der pluralistischen Demokratie.,2
191,@Libelle2000R @mundaufmachen @Volker_Beck @amnesty @amnesty_de NATÜRLICH NUR FÜR BOLSCHEWISTEN UND SCHWULE!,0
2370,"@oadiakosmos @3rd_stone_f_sun @Schnubb36 @Fjordspringer @gselsbaer @transsimian @AlfredAndPaul @TomBell46959788 @KosmosOadia @druzim @DasEbenbild @_Apuleius @karlrahner_sj @veronikusz @LadyLeliana @VJanusch @HELMA__D @ifw_recht @gbs_org Es ist zwar begrüßenswert, dass du die ganzen schlechten Dinge aus dem Christentum wegretuschierst, ich frag mich halt bloß warum du es noch Christentum nennst und nicht gleich deinen eigenen netten Glauben praktizierst. Das Oadiatum.",2
1890,"Ich wollten mal mit nem Mann Sex, aber der hat gesagt, er sei hetero. Sexist! |LBR| #MeeToo",2
2696,"""@781Johnny: Top-Schmarotzer Volker #Beck 4 Wochen krank geschrieben. Jedem Arbeitnehmer würde man fristlos kündigen. |LBR| WAS WILL DIE SAU?",1
645,@gnurpsnewoel Es gibt noch viel zu tun! #teamliebe,2
2999,@mz_Wittenberg Und? Täter noch nicht ermittelt und hart bestraft?,2
3168,"@Namiimon @mountainman1977 @zeitonline Ja, lern erstmal Biologie. Dann reden wir weiter.",2
976,Denn die AfD wird nach der Wahl allein gegen alle dastehen und nichts ändern können.,2
1075,"Linke und AfD Seit' an Seit', beobachtet @HugoMuellerVogg",2
3504,"@Ave_Platon Ja das stimmt. Aber dass Deniz nicht mehr in Isolationshaft ist, die eine Form der Folter ist, ist doch ein Grund zum freuen. Ich jedenfalls freue mich für ihn und kämpfe weiter für seine Freilassung.",2
439,"@MarkusTomberg Wir haben's dann korrigiert, danke für den Hinweis! /fxn",2
2250,"@ReconquistaNeu @Joemino @gruene_jugend Strunzdumm, siehe BW GRÜN regiert sagt doch viel über Grüne aus",1
498,@MiRo_SPD Ich scheisse auf die SPD !!!,1
2650,@TiloJung Damit Du nicht traurig bist: Deine und meine sind die besten Omis der Welt. Ok?,2
2675,"@undsonst1975 Pst, nicht verraten, aber in echt steht die auf der anderen Rheinseite. Sie wird für den #Tatort immer umgepflanzt.",2
2496,@HolgerEwald1 @focusonline An jeden Ort Bürgerwehren. Denn Polizei wurde reduziert und nur für Asylanten schützen oder Demos eingesetzt.,0
1571,"Es soll ja mal Zeiten gegeben haben, in denen Linke pro Sex gewesen sind. |LBR| Können wir bitte dahin zurück?",2
139,"Kinder schänden und das Volk verraten, das ist die Ideologie der Sozis und ihrer grünen Helfer!",0
3234,"""Die vielen Christen, die sich für die Anliegen schutzsuchender Menschen engagieren, geben der kirchlichen #Flüchtlingshilfe ein Gesicht.""",2
2200,@ThiloAdamitz @MiataMuc Schwule gucken sowas nicht 🙄,2
2099,"Dass Natur ein Kampf um Überleben ist, oftmals grausam und voller Leid und Tragik, nimmt man nicht zur Kenntnis.",2
1881,Ich möchte unbedingt mal nach Schwerin. Wer kommt mit?,2
470,"@rspctfl @ThomasMichael71 @everlast_fs @m8Flo @BolzAndrea @Innenwelttramp @LGnimag @dasstimmvieh @NordicSkulled @Suzimiya @waldenmonk @Coffee__Grind @houelle_beck @THesmert @Chinasky64a @MartinDomig Ich habe mal in der Türkei Urlaub gemacht und danach entschieden, nie wieder in einem islamischen Land Urlaub zu machen. |LBR| Der Grund waren Männer die aufdringlich waren und tatsächlich gegafft haben, als hätten sie nie zuvor eine Frau gesehen.",2
345,Erpresste Einigung in Belgien macht #CETA nicht besser. Weiterhin gilt:GroKo muss mindestens Verfass.gerichtauflagen erfüllen. CETA stoppen!,2
16,"@heuteshow Besser einen schwarz arbeiten zu lassen als PÄDOPHILE Bastarde in der Partei zu dulden, wie es in der GroKo schon mal vorkommt",0
2728,@sozialromantik ich kapiere mehr wie du! Diese Regierung ist nichts anderes wie BOLSCHEWISMUS!,2
50,Logik 2017: |LBR| Es gibt dreiundzwölfzig Geschlechter und der Islam ist ne Ethnie.,0
417,"""Deutschland den Deutschen, Ausländer raus"" heißt heute ganz harmlos Remigration - der Tod der liberalen Demokratie kommt schleichend daher. #NoAfD #AfD",2
700,@Kirchenprofil 340.000 im Jahr 2016 leider. :-( Siehe Link zur Pressemitteilung im Text zur Grafik.,2
2434,"Facebook hat diesen Fehler nach unserer Intervention übrigens korrigiert und Frau Schubert hat sich über ihren jetzt wieder freien account sehr gefreut. Sie kann in Zukunft wieder berühmte Gemälde posten, ohne Angst vor Sperrung zu haben.",2
3010,"@MiataMuc Wir werden nie wieder so frei sein, wie in den 90ern bis zum 11.09.2001",2
3438,"@GDhring @NiemaMovassat Im Gegensatz zu den Sozialschmarotzern, die hier her kommen, sind dort tatsächlich Flüchtlinge unterwegs.",0
1783,"@Jolantel @StapelChipsYT Nenn ein Recht, welches Männer haben, das Frauen nicht haben.",2
2288,"wenn die Moderatorin von #taff auf #ProSieben schon derart hässlich ist, muss sie sich dann auch noch anziehen wie eine Prostituierte ?",1
2919,sind die TV Gebühren noch zu niedrig dass die Moderatorin der @AktuellenStunde immer in ihren alten Lumpen und fettigen Haaren auftritt #WDR,1
2931,"@StephanJBauer @TichysEinblick ach, die Toten von Barcelona sind Opfer eines Verkehrsunfalls, Herr Stephan Bauer? Interessant.",2
260,"@n59_puppche Hi ,erkundige dich mal über den Hooton Plan ! dann wirst du verstehen was hier gerade passiert!",0
2618,"@MalteLehming Ab-so-lut. Weiß gar nicht, woran man dabei sonst noch denken sollte.",2
2051,@HelgeThiessen Lies doch erst mal das Urteil.,2
248,@rspctfl @Innenwelttramp @nadine_wickert @bruck_68 @ergroovt @ThomasMichael71 @houelle_beck @ksemann2 @DrKassandraPari Ich handele Allah und Seinem gesandten zuwider. Und ich bin ungläubig.,2
1535,"Freiheit, Sicherheit und Demokratie für Europa und Deutschland!",2
1201,"@montagsdemoGIDA |LBR| Dieser Mann spricht Wahrheiten aus ,aber die BRD Regierung stellt sich taub.",2
559,"Ich bin so alt, ich kann mich noch an die Zeiten erinnern, als der SPIEGEL ein investigatives Nachrichten-Magazin gewesen ist.",2
2574,@flueke @claasen_nils Die Antwort finden Sie im Märchen vom Fischer und seiner Frau.,2
1119,#Fakt: Seit 2006 hat sich die Zahl der #Menschen auf der #Flucht weltweit auf über 65 Mio. verdoppelt.,2
3338,@hannes_elefant @ChSascha Und wo genau habe ich jetzt Rassismus verteidigt?,2
1763,"@huegelkind_de @Tschonka Ich finde, die Freiheit seine Kinder zu verstümmeln, ist weniger wert als die Freiheit, einvernehmlich Sex haben zu dürfen.",0
3110,"Wir setzen uns dafür ein,""dass gerade in Krisenzeiten grundlegende rechtsstaatl., humanitäre und soziale Errungenschaften gesichert werden.""",2
3102,@Ralf_Stegner DIE FASCHISTEN DER SOZIS BEKOMMEN ANGST!,0
3449,"@Tevsa @stefanolix Sollen sie doch schwanger werden, denn bluten sie nicht.",0
1520,@SWagenknecht mit 75 % und @DietmarBartsch mit 80 % zu Vorsitzenden der @Linksfraktion gewählt! 👏🏼👏🏼💐💐,2
1666,"@IrisBuecker @krippmarie |LBR| Das heißt Weihnachtsmarkt =Lebensgefahr oder Konzerte., Demos, Fußball überhaupt jede Großveranstaltungen.",2
472,@MartinDomig @MiataMuc Aber der Kurz wird in der Gegenwart dennoch nicht Bayern regieren.,2
3250,@AmadeuAntonio Sämtliche tödlichen Terroranschläge in Europa der letzten Jahre auf uns Juden waren von muslimischen Migranten.  @Schlimmbo2,0
3317,@MarioBuchinger @Tevsa Weniger Frauen in Vorständen ist kein Problem. Weniger Geld für weniger Arbeit und geringer bezahlte Jobs ebenfalls nicht.,0
1018,"@RolandBauer11 @Caroline_Aus @LMU_Muenchen @BMFSFJ #JedeLiebe meint, dass auch #LSBTIQ ein Recht auf Familiengründung haben. 🌈",2
101,"Gut!Sofort alles Geld stoppen,Beziehungen abbrechen und alle Griechen aus Deutschland raus!Keinerlei Renten-und Sozialleistungen!",0
3323,@MiataMuc Das heißt Du hast Herrchen schon öfter nackt gesehen?,2
566,"Liebe Schweizer! |LBR| Ihr seid ein grandioses Volk,ihr seid die Vorreiter der Freiheit Europas!Danke,von ganzen Herzen danke!",2
1841,@NDRinfo was wird nun aus der kostenlosen KITA in der GROKO ?,2
2182,"@ericcartmensmum Wenn ich mir die Argumente der Gegner der Koedukation ansehe, scheinen sie zu befürchten, dass aus Jungs Schwuchteln werden, wenn gemixt.",1
833,"Wenn @APosener so gegen die AfD ist, warum schickt er dann nicht seine Frau los, um denen ganz ruhig zu erklären, dass es so nicht geht? |LBR| #TwitternWiePosener",2
586,@AbehoSooh@balleryna jaja.Aber Verteidigen darf Man sich ja nicht sonst gibts ne Anzeige wegen Körperverletzung in Tateinheit mit Rassismuss,2
965,@Sakoelabo @ThomasMichael71 Stimmt. Gibt es nivcht. Frauen schlafen für gewöhnlich nicht mit statusniederen Männern.,0
2267,"Um dem Staat 18,5 Mio. Euro zu stehlen, müsste ich als nicht Berechtigter fast 3.943 Jahre #Hartz IV beziehen. #Hoeness (via @nicosemsrott)",2
177,@JuliaKloeckner ist eine Körperverletzung! Sorry diese Frau ist einfach Dumm!,1
3119,"@ronzheimer @c_lindner @fdp Interview betont zweimal Westbindung als Fundament, Dialog als Instrument. Wichtiger Unterschied. 'Provisorium' =&gt; gerade KEINE Anerkennung.",2
3440,Axtangriff in #Düsseldorf: Schreckliche Tat eines psychisch Kranken. Ich wünsche den Verletzten schnelle und vollständige Erholung.,2
673,#Lindner steckt heute Abend schon seinen Kopf in den Arsch von #Merkel widerlich #FDP,1
1490,"@AynRandism @AliCologne @AkifPirincci 1. Nicht so pauschal. #Familiennachzug würde ja auch säkularen und atheistischen Flüchtlingen zugute kommen und könnte enorm helfen. |LBR| 2. Auch ohne die @maybritillner -Sendung gesehen zu haben, bezweifle ich, dass @AkifPirincci die kritisierte Position korrekt wiedergegeben hat.",2
1822,"Bedford-Strohm: ""Alles was in den Regionen auf den Marktplätzen stattgefunden hat, ist gigantisch."" #Reformationsjubiläum",2
323,@Neodeutscher @KonseqLiberal Ich würde lieber nach Tschechien gehen. Fast alle Atheisten und islamophob da und viele hübsche Männer 😀,2
2054,"@MiataMuc @mountainman1977 Weihnachtsstress, Geburtstag, und Fressen. Und alle tun super nett. Mehr ist das doch nicht.",2
315,"Im #Jemen verschärft eine Grenzblockade die humanitäre Notlage. |LBR| 21 Millionen Menschen, Binnenvertriebene und #Flüchtlinge, sind auf Hilfe angewiesen.",2
94,jetzt wieder LinksGrüne-Propaganda von Linksfaschisten #Böhmermann #LaferLichterLuther,0
3264,"@wisselstefan Einem Ertrinkenden ""Hilfe in der Heimat"" anzubieten, ist nicht ""sinnvoll"", sondern zynisch. Weitsicht macht nicht blind.",2
